,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
8,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,meant2beaaa,1662646235,0.0067,0.0983,bad
9,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,dinofresh.official,1662974773,0.110894,0.645549,bad
10,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,dinofresh.official,1664431769,0.111077,0.644986,bad
11,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,dinofresh.official,1662645957,0.111683,0.644159,bad
12,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662645904,0.47,0.7317,bad
13,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1664431870,0.4685,0.7298,bad
14,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662975192,0.4687,0.7347,bad
15,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662645397,0.552422,0.81571,low
16,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1664431836,0.552422,0.815597,low
17,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662975218,0.552422,0.815597,low
